tse_id,NM_UE,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
RR-07926/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-02909/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-04103/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-07326/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-02190/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-02587/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-03118/2020,PORTO ALEGRE,https://g1.globo.com/rs/rio-grande-do-sul/eleicoes/2020/noticia/2020/11/24/pesquisa-ibope-para-o-2o-turno-em-porto-alegre-melo-49percent-manuela-42percent.ghtml,1,P,1,,,MELO,49,MANUELA,42,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-03195/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-04121/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-07009/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-03458/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-06746/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-01314/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-03425/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-07587/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-03174/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-03965/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-05996/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-03410/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-04566/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-06830/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05466/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-06973/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-07065/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
