unnamed: 0,tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,BA-07354/2020,https://www.paranapesquisas.com.br/pesquisas/pesquisa-salvador-eleicoes-municipais-de-2020-e-avaliacao-das-administracoes-municipal-estadual-e-federal-maio-2-020/,BA,SALVADOR,Prefeito,1.0,P,1.0,,,BRUNO REIS,31,SARGENTO ISIDORIO,"12,9",LIDICE DA MATA,11,LEO PRATES,8,IRMAO LAZARO,"5,5",MAJOR DENICE,"3,7",OLIVIA SANTANA,"3,4",HILTON COELHO,"2,2",JOAO CARLOS BACELAR,"2,1",CEZAR LEITE,"1,8",,,,,,,,,,
,BA-07354/2020,https://www.paranapesquisas.com.br/pesquisas/pesquisa-salvador-eleicoes-municipais-de-2020-e-avaliacao-das-administracoes-municipal-estadual-e-federal-maio-2-020/,BA,SALVADOR,Prefeito,1.0,P,0.0,,,ACM NETO,"17,4",BRUNO REIS,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,
,BA-09504/2020,http://vejapolitica.com.br/index.php/2020/06/15/bn-seculus-dr-murilo-lidera-intencoes-de-voto-em-coribe/,BA,CORIBE,Prefeito,1.0,P,1.0,,,DR. MURILO,"52,65",VAZIM,"27,35",,,,,,,,,,,,,,,,,,,,,,,,,,
,BA-09751/2020,https://www.bahianoticias.com.br/noticia/250022-bn-seculus-andreia-xavier-aparece-na-dianteira-nas-intencoes-de-voto-em-dias-davila.html,BA,DIAS D'ÁVILA,Prefeito,1.0,P,1.0,,,ALBERTO CASTRO,"17,19",ANDREIA XAVIER,"30,63",DONA ZENE COUTO,"3,13",GERALDO REQUIAO,"10,94",,,,,,,,,,,,,,,,,,,,,,
,BA-09789/2020,http://www.politicosdosuldabahia.com.br/v1/2020/02/14/santa-cruz-cabralia-ex-prefeito-baiano-lidera-pesquisa/,BA,SANTA CRUZ CABRÁLIA,Prefeito,1.0,P,,,,BAIANO,"25,68",AGNELO,"10,66",VIOLA,2,SARGENTO APOLINARIO,1,,,,,,,,,,,,,,,,,,,,,,
,BA-09808/2020,https://bahialigada.com.br/pesquisa-mostra-vantagem-de-elinaldo-em-camacari/,BA,CAMAÇARI,Prefeito,1.0,P,0.0,,,ANTONIO ELINALDO,"21,3",IVONEIDE CAETANO,"6,7",FABIO LIMA,"1,8",,,,,,,,,,,,,,,,,,,,,,,,
,BA-09808/2020,https://informa1.com.br/camacari-pesquisa-mostra-elinaldo-com-377-e-ivoneide-com-212/,BA,CAMAÇARI,Prefeito,1.0,P,1.0,,,ANTONIO ELINALDO,"37,7",IVONEIDE CAETANO,"21,2",FABIO LIMA,"3,7",PEDRINHO DE PEDRAO,"2,8",,,,,,,,,,,,,,,,,,,,,,
,BA-09852/2020,http://www.tiacandia.com.br/pesquisa-seculos-nilza-da-mata-lidera-com-folga-em-sao-sebastiao-do-passe/,BA,SÃO SEBASTIÃO DO PASSÉ,Prefeito,1.0,P,1.0,,,NILZA,"31,67",TANIA PORTUGAL,15,DR. BRENO,"13,89",ANGELO SANTANA,"7,5",LUCIANO LAGO,"5,28",EVALDO FIRES,"2,22",,,,,,,,,,,,,,,,,,
,BA-09852/2020,https://www.bahianoticias.com.br/noticia/246517-nilza-da-mata-lidera-disputa-por-sao-sebastiao-do-passe-atual-prefeito-e-rejeitado-por-38.html,BA,SÃO SEBASTIÃO DO PASSÉ,Prefeito,1.0,P,0.0,,,DR. BRENO,"6,94",NILZA DA MATA,"26,11",ANGELO,"5,56",LUCIANO LAGO,"5,28",TANIA PORTUGAL,"9,44",EVALDO,"2,22",,,,,,,,,,,,,,,,,,
,BA-09993/2020,https://www.jeremoabo.com.br/noticia/319/coluna-pinga-fogo-sobre-politica-baiana,BA,ABAÍRA,"Prefeito, Vereador",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-05761/2020,https://tvj1.com.br/politica/noticias/pesquisa-eleitoral-do-municipio-de-alto-santo-aponta-resultados-para-eleicoes-de-2020.html,CE,ALTO SANTO,"Prefeito, Vereador",1.0,P,1.0,,,JOSE JOENI,"37,99",IRIS GADELHA,"25,98",ADELMO AQUINO,"25,25",,,,,,,,,,,,,,,,,,,,,,,,
