"ANO_ELEICAO","NUM_TURNO","COD_MUN_TSE","SIGLA_UE","CODIGO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS"
"2016","1","95214","95214","11","22","1360"
"2012","1","56006","56006","11","40","3278"
"2016","1","28070","28070","11","22","3305"
"2016","1","32417",,"11","95","545"
"2016","1","73512","73512","11","11","1286"
"2012","1","57037","57037","11","25","82574"
"2016","1","27936","27936","11","55","13536"
"2016","1","32476",,"11","96","1828"
"2016","1","73148","73148","11","55","703"
"2012","1","56278","56278","11","20","58"
"2016","1","28614","28614","11","15","2928"
"2016","1","31259",,"11","96","1278"
"2016","1","92410","92410","11","11","24598"
"2012","1","56995","56995","11","10","186"
"2016","1","27570","27570","11","55","5996"
"2016","1","32050",,"11","95","123"
"2016","1","95338","95338","11","11","795"
"2012","1","56790","56790","11","55","1298"
"2016","1","27855","27855","11","40","91650"
"2016","1","32379",,"11","95","11"
"2016","1","73164","73164","11","55","550"
"2016","1","16144","16144","11","55","1620"
"2016","1","27758","27758","11","40","4543"
"2016","1","31755","31755","11","20","1858"
"2016","1","92088","92088","11","55","1654"
"2016","1","16438","16438","11","13","1284"
"2016","1","28371","28371","11","22","5327"
"2016","1","31518","31518","11","40","2384"
"2016","1","92371","92371","11","15","2158"
"2016","1","16276","16276","11","55","3291"
"2016","1","28290","28290","11","15","4429"
"2016","1","31259","31259","11","10","483"
"2016","1","18732","18732","11","25","1086"
"2016","1","16179","16179","11","55","2729"
"2016","1","27898","27898","11","15","6444"
"2016","1","32190","32190","11","25","5661"
"2016","1","18031","18031","11","65","42"
"2016","1","18171","18171","11","15","1811"
"2016","1","28711","28711","11","28","829"
"2016","1","32492","32492","11","77","4056"
"2016","1","16276","16276","11","12","1036"
"2016","1","16675","16675","11","25","2056"
"2016","1","96792","96792","11","25","1711"
"2016","1","31836","31836","11","12","563"
"2016","1","17310","17310","11","15","3619"
"2016","1","16810","16810","11","55","8540"
"2016","1","73121","73121","11","45","1030"
"2016","1","31119","31119","11","11","271"
"2016","1","17132","17132","11","25","10593"
"2016","1","18074","18074","11","15","1988"
"2016","1","94811","94811","11","45","893"
"2016","1","31658","31658","11","50","180"
"2016","1","17477","17477","11","25","3184"
"2016","1","16004","16004","11","40","2118"
"2016","1","93653","93653","11","11","2639"
"2016","1","04596",,"11","95","22"
"2016","1","16896","16896","11","55","2587"
"2016","1","16390","16390","11","55","1614"
"2016","1","73377","73377","11","14","816"
"2016","1","05053",,"11","96","736"
"2016","1","17914","17914","11","15","1360"
"2016","1","16136","16136","11","55","4508"
"2012","1","56553","56553","11","33","179"
"2016","1","04170",,"11","95","238"
"2016","1","18597","18597","11","55","1863"
"2016","1","17736","17736","11","11","1942"
"2012","1","56111","56111","11","50","15924"
"2016","1","04170",,"11","96","1380"
"2016","1","16870","16870","11","77","5294"
"2016","1","17175","17175","11","55","2062"
"2012","1","57932","57932","11","12","13138"
"2016","1","04910",,"11","96","707"
"2016","1","17434","17434","11","12","961"
"2016","1","17213","17213","11","22","2170"
"2012","1","57010","57010","11","43","20256"
"2016","1","05037",,"11","96","602"
"2016","1","18350","18350","11","22","1736"
"2016","1","18511","18511","11","45","2071"
"2012","1","56634","56634","11","15","34798"
"2016","1","04022",,"11","95","347"
"2016","1","18171","18171","11","22","331"
"2016","1","16209","16209","11","15","1583"
"2012","1","56014","56014","11","15","6481"
"2016","1","04189",,"11","96","740"
"2016","1","18830","18830","11","22","1072"
"2016","1","18996","18996","11","19","38"
"2012","1","57991","57991","11","40","3484"
"2016","1","05878",,"11","95","103"
"2016","1","18074","18074","11","14","1662"
"2016","1","19291","19291","11","40","1674"
"2012","1","56553","56553","11","15","10227"
"2016","1","05916",,"11","96","1157"
"2016","1","17434","17434","11","22","338"
"2016","1","19453","19453","11","40","1092"
"2012","1","57070","57070","11","10","4297"
"2016","1","04006",,"11","96","621"
"2016","1","16454","16454","11","22","7501"
"2016","1","22136","22136","11","14","1188"
"2012","1","56200","56200","11","40","2350"
"2016","1","05959",,"11","95","160"
"2016","1","16918","16918","11","15","4250"
"2016","1","19410","19410","11","70","2820"
"2016","1","16195","16195","11","15","12623"
"2016","1","05959",,"11","96","503"
"2016","1","17752","17752","11","22","1635"
"2016","1","21695","21695","11","13","461"
"2016","1","17957","17957","11","55","3920"
"2016","1","04740",,"11","95","42"
"2012","1","81434","81434","11","13","4866"
"2016","1","19712","19712","11","40","5420"
"2016","1","18910","18910","11","55","2059"
"2016","1","04162",,"11","95","39"
"2012","1","81795","81795","11","50","10017"
"2016","1","22217","22217","11","55","6380"
"2016","1","17639","17639","11","23","5267"
"2016","1","04561",,"11","96","383"
"2012","1","82414","82414","11","11","2382"
"2016","1","21253","21253","11","15","7881"
