feito_por,obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MARICELIA,,RJ-03549/2018,https://www.imprensaviva.com/2018/08/disputa-pelo-senado-embolada-no-rio-de.html,RJ,RIO DE JANEIRO,1,S,1.0,,,cesar maia,0.18,flavio bolsonaro,0.18,lindbergh,0.18,chico alencar,0.17,miro teixeira,0.11,pastor everaldo,0.08,cyro garcia,0.06,arolde de oliveira,0.06,mattos nascimento,0.05,senador eduardo lopes,0.05,jose bonifacio,0.04,marta barcante,0.03,aspasia,0.03,fernando fagundes ribeiro,0.02,samantha guedes,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03640/2018,https://noticias.r7.com/eleicoes-2018/rj-witzel-tem-58-dos-votos-validos-e-paes-42-diz-realtime-big-data-23102018,RJ,RIO DE JANEIRO,1,G,1.0,,1.0,wilson witzel,0.58,eduardo paes,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03640/2018,https://tmnnoticias.blogspot.com/2018/,RJ,RIO DE JANEIRO,1,G,1.0,,,wilson witzel,0.49,eduardo paes,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03691/2016,https://www.fabiocampana.com.br/2016/09/em-niteroi-584-nao-sabem-em-quem-votar-diz-parana-pesquisas/,RJ,NITERÓI,1,P,1.0,,,rodrigo neves,0.425,felipe peixoto,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03806/2018,https://diariodorio.com/datafolha-mostra-provavel-2o-turno-entre-eduardo-paes-e-wilson-witzel/,RJ,RIO DE JANEIRO,1,G,1.0,,,eduardo paes,0.23,romario faria,0.15,wilson witzel,0.14, indio da costa,0.11,tarcisio motta,0.1,pedro fernandes,0.05,marcia tiburi,0.03,marcelo trindade,0.01,andre monteiro,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03806/2018,https://diariodorio.com/datafolha-mostra-provavel-2o-turno-entre-eduardo-paes-e-wilson-witzel/,RJ,RIO DE JANEIRO,1,G,1.0,,1.0,eduardo paes,0.27,romario faria,0.17,wilson witzel,0.17, indio da costa,0.13,tarcisio motta,0.12,pedro fernandes,0.06,marcia tiburi,0.04,marcelo trindade,0.02,andre monteiro,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03806/2018,https://diariodorio.com/datafolha-voto-util-cesar-maia-e-flavio-bolsonaro-pode-tirar-lindbergh-do-senado/,RJ,RIO DE JANEIRO,1,S,1.0,,,flavio bolsonaro,0.34,cesar maia,0.27,lindbergh,0.22,chico alencar,0.16,arolde de oliveira,0.13,miro teixeira,0.09,pastor everaldo,0.07,aspasia,0.04,senador eduardo lopes,0.04,joses bonifacio,0.04,mattos nascimentos,0.03,cyro garcia,0.02,marta barçante,0.01,gabrielle barcci,0.01,samantha guedes,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03806/2018,https://diariodorio.com/datafolha-voto-util-cesar-maia-e-flavio-bolsonaro-pode-tirar-lindbergh-do-senado/,RJ,RIO DE JANEIRO,1,S,1.0,,1.0,flavio bolsonaro,0.23,cesar maia,0.18,lindbergh,0.15,chico alencar,0.11,arolde de oliveira,0.09,miro teixeira,0.06,pastor everaldo,0.05,aspasia,0.03,senador eduardo lopes,0.03,joses bonifacio,0.02,mattos nascimentos,0.02,cyro garcia,0.02,marta barçante,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03806/2018,https://noticias.bol.uol.com.br/ultimas-noticias/eleicoes/2018/10/06/ibope-senado-rio.htm,RJ,RIO DE JANEIRO,1,S,1.0,,1.0,flavio bolsonaro,0.21,cesar maia,0.2,lindbergh,0.14,arolde de oliveira,0.08,chico alencar,0.07,miro teixeira,0.07,pastor everaldo,0.06,senador eduardo lopes,0.04,aspasia,0.03,cyro nascimento,0.03,jose bonifacio,0.02,mattos nascimentos,0.02,fernando fagundes ribeiros,0.01,gabrielle barcci,0.01,marta barçante,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03806/2018,https://oglobo.globo.com/brasil/datafolha-paes-tem-27-romario-17-witzel-17-indio-13-23134601,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
