outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,BR-00770/2014,https://mococa24horas.com.br/noticias/det/687/geraldo-e-marina-continuam-liderando-em-sp-aponta-pesquisa,BR,BRASIL,1.0,PR,,,,MARINA SILVA,"33,6",DILMA ROUSSEFF,"26,4",AECIO NEVES,"21,2",PASTOR EVERALDO,"2,3",EDUARDO JORGE,"1,5",LEVY FIDELIX,"1,2",LUCIANA GENRO,"1,2",,,,,,,,,,,,,,,,
ES-00025/2014,BR-00859/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/09/ao-senado-rose-tem-27-neucimar-135-e-coser-13-diz-futura-no-es.html,BR,BRASIL,1.0,S,0.0,,,ROSE DE FREITAS,"16,5",NEUCIMAR FRAGA,7,JOAO COSER,7,,,,,,,,,,,,,,,,,,,,,,,,
ES-00025/2014,BR-00859/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/09/ao-senado-rose-tem-27-neucimar-135-e-coser-13-diz-futura-no-es.html,BR,BRASIL,1.0,S,1.0,,,ROSE DE FREITAS,27,NEUCIMAR FRAGA,"13,5",JOAO COSER,13,ANDRE MOREIRA,"1,5",,,,,,,,,,,,,,,,,,,,,,
ES-00025/2014,BR-00859/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/09/hartung-tem-50-e-casagrande-28-diz-futura-no-espirito-santo.html,BR,BRASIL,1.0,G,0.0,,,PAULO HARTUNG,41,CASAGRANDE,23,ROBERTO CARLOS,"1,5",,,,,,,,,,,,,,,,,,,,,,,,
ES-00025/2014,BR-00859/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/09/hartung-tem-50-e-casagrande-28-diz-futura-no-espirito-santo.html,BR,BRASIL,1.0,G,1.0,,,PAULO HARTUNG,50,CASAGRANDE,28,ROBERTO CARLOS,"2,5",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00892/2014,https://blog-ferreirinha.blogspot.com/2014/09/,BR,BRASIL,1.0,PR,1.0,,,DILMA ROUSSEFF,"40,4",MARINA SILVA,"25,2",AECIO NEVES,"19,8",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00892/2014,https://jornal-usina-de-eventos.blogspot.com/2014/09/,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"36,7",MARINA SILVA,"22,5",AECIO NEVES,"17,5",,,,,,,,,,,,,,,,,,,,,,,,
ES-00033/2014,BR-00990/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/10/hartung-tem-56-e-casagrande-39-diz-futura-no-espirito-santo.html,BR,BRASIL,1.0,G,1.0,,,PAULO HARTUNG,45,CASAGRANDE,31,ROBERTO CARLOS,2,CAMILA VALADAO,1,,,,,,,,,,,,,,,,,,,,,,
,BR-00990/2014,https://www.vilanoticias.com/ibope-e-futura-mostram-larga-vantagem-de-paulo-hartung-eleicao-deve-ser-decidida-no-primeiro/,BR,BRASIL,1.0,PR,,,1.0,MARINA SILVA,"35,2",DILMA ROUSSEFF,"34,6",AECIO NEVES,"27,7",LUCIANA GENRO,1,,,,,,,,,,,,,,,,,,,,,,
ES-00033/2014,BR-00990/2014,https://www.vilanoticias.com/ibope-e-futura-mostram-larga-vantagem-de-paulo-hartung-eleicao-deve-ser-decidida-no-primeiro/,BR,BRASIL,1.0,S,,,1.0,ROSE DE FREITAS,"49,6",NEUCIMAR FRAGA,"29,7",JOAO COSER,"17,1",ANDRE MOREIRA,"2,3",RAPHAEL FURTADO,"1,3",,,,,,,,,,,,,,,,,,,,
