tse_id,url,sg_uf.x,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
SP-01579/2016,http://www.paranapesquisas.com.br/wp-content/uploads/2016/05/S%C3%A3oBernardoCampoMaio16.pdf,SP,SÃO BERNARDO DO CAMPO,1,p,1.0,,,Alex Manente,31.3,Orlando Morando,25.8,Tarcísio Secoli,6.3,Maurício Soares,8.6,Professor Aldo Santos,4.8,Marcelo Lima,3.4,,,,,,,,,,,,,,,,,,
SP-01617/2018,https://brpolitico.com.br/noticias/wp-content/uploads/sites/683/2018/06/SP_EstadualJun18.pdf,SP,SÃO PAULO,1,g,1.0,,,Doria,31.8,Skaf,20.4,Marcio França,7.0,Luiz Marinho,5.1,,,,,,,,,,,,,,,,,,,,,,
SP-01617/2018,https://folhanoroeste.blogspot.com/2018/06/doria-lidera-pesquisa-e-tem-menor.html,SP,SÃO PAULO,1,g,1.0,,,Doria,33.5,Skaf,22.3,Marcio França,8.2,Luiz Marinho,6.5,,,,,,,,,,,,,,,,,,,,,,
SP-01786/2012,https://folhanoroeste.blogspot.com/2012_09_30_archive.html,SP,URÂNIA,1,p,1.0,,,Airton Saracuza,55.5,Neuseli Maria de Brito Pires,27.5,Sandra Cacia Correa,3.5,Jacir Pontel ,2.5,,,,,,,,,,,,,,,,,,,,,,
SP-01910/2012,https://blogdojmiguel.blogspot.com/2012/10/datafolha-haddad-60-40-ibope-57-43.html,SP,SÃO PAULO,1,p,,,,Haddad,49.0,Serra,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01910/2012,https://gilvanmelo.blogspot.com/2012/10/sp-haddad-lidera-e-serra-sobe-na-margem.html,SP,SÃO PAULO,1,p,1.0,,,Haddad,49.0,Serra,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01928/2012,https://oglobo.globo.com/brasil/haddad-sera-eleito-prefeito-de-sao-paulo-diz-datafolha-6553177,SP,SÃO PAULO,1,p,1.0,,,Haddad,48.0,Serra,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-02291/2016,https://www.folhadevalinhos.com.br/artigos/valinhos/pol%C3%ADtica/nova-pesquisa-vtvsbt-confirma-n%C3%BAmeros-divulgado-pela-folha-de-valinhos,SP,VALINHOS,1,p,1.0,,,Clayton,31.3,Orestes,22.9,Tonetti,21.5,,,,,,,,,,,,,,,,,,,,,,,,
SP-02291/2016,https://www.folhadevalinhos.com.br/artigos/valinhos/pol%C3%ADtica/nova-pesquisa-vtvsbt-confirma-n%C3%BAmeros-divulgado-pela-folha-de-valinhos,SP,VALINHOS,1,p,1.0,,,Clayton,31.3,Orestes,22.9,Tonetti,21.5,,,,,,,,,,,,,,,,,,,,,,,,
SP-02963/2016,https://noticias.uol.com.br/politica/ultimas-noticias/2016/07/15/datafolha-russomanno-lidera-disputa-a-prefeitura-de-sao-paulo-com-25.htm,SP,SÃO PAULO,1,p,1.0,,,Marta Suplicy,16.0,Russomano,25.0,Haddad,8.0,Luiza Erundina,10.0,João Doria,6.0,Marco Feliciano,4.0,Andrea Matarazzo,3.0,Levy Fidelix,2.0,Major Olimpio,2.0,Young,1.0,Marlene Machado,1.0,,,,,,,,
SP-02970/2018,http://www.folharondoniense.com.br/geral/bolsonaro-abre-vantagem-de-10-pontos-sobre-alckmin-em-sp-68-rejeitam-haddad-mostra-xp-ipespe/,SP,SÃO PAULO,1,PR,1.0,,,Bolsonaro,21.0,Alckmin,20.0,Ciro Gomes,9.0,Marina Silva,10.0,Haddad,5.0,João Amoedo,0.0,Álvaro Dias,4.0,Henrique Meirelles,0.0,,,,,,,,,,,,,,
SP-02970/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ipespe/xp-ipespe-em-sao-paulo-bolsonaro-supera-alckmin-e-lidera-com-25-das-intencoes-de-voto/,SP,SÃO PAULO,1,PR,1.0,,,Bolsonaro,25.0,Alckmin,15.0,Ciro Gomes,9.0,Marina Silva,8.0,Haddad,8.0,João Amoedo,5.0,Álvaro Dias,3.0,Henrique Meirelles,2.0,,,,,,,,,,,,,,
