tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PA-00155/2012,https://issuu.com/pedrobrasil/docs/pesquisa_quanti__bidos_29_set_publica__o,PA,ÓBIDOS,1.0,P,0.0,,,CHICO ALFAIA,"42,3",MARIO HENRIQUE,"37,3",ALACID CANDO,"8,7",BAMBOLE,"3,5",WALDER FLORENZANO,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00157/2012,https://blogdojcampos.blogspot.com/2012/09/pesquisa-doxa-para-prefeito-de-santarem.html,PA,SANTARÉM,1.0,P,1.0,,,ALEXANDRE VON,"38,1",LUCINEIDE PINHEIRO,"29,8",JOSE MARIA TAPAJOS,"11,2",MARCIO PINTO,6,RUBSON SANTANA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00159/2012,https://ctpbr.blogspot.com/2012/09/,PA,PARAUAPEBAS,1.0,P,1.0,,,VALMIR,"47,3",COUTINHO,"30,8",CHICO DOS CORTINAS,"6,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00159/2012,https://ctpbr.blogspot.com/2012/09/,PA,PARAUAPEBAS,1.0,P,0.0,,,VALMIR,"42,8",COUTINHO,"29,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00163/2012,https://blogdojcampos.blogspot.com/2012/10/pablo-genuino-e-disparado-o-futuro.html,PA,RURÓPOLIS,1.0,P,,,,PABLO GENUINO,"58,7",ZE MARIO,"18,9",MARLENE FICKS,"18,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00181/2012,https://issuu.com/pedrobrasil/docs/pesquisa_quanti_tucurui_29_set,PA,TUCURUÍ,1.0,P,0.0,,,SANCLER,"55,7",JONES,"18,7",CLAUDIO FURMAN,"13,5",JONATHA,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00193/2012,http://www.ronilson.com.br/2012/09/em-belterra-dr-macedo-lidera-com-44-da.html,PA,BELTERRA,1.0,P,,,,DR. MACEDO,44,ULISSES,"25,8",DILMA,"20,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00216/2012,https://issuu.com/pedrobrasil/docs/pesquisa_quanti_muan__01_out,PA,MUANÁ,1.0,P,0.0,,,MURILO,"34,2",CIDINHO,"26,5",IRA,"16,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00226/2012,https://www.zedudu.com.br/eleies-2012-pesquisa-gauss-em-cana-dos-carajs-garante-jeov-andrade-pmdb-ser-eleito-no-domingo/,PA,CANAÃ DOS CARAJÁS,1.0,P,1.0,,,JEOVA ANDRADE,54,DRA. MARILDA,20,VALDEMAR DA PAVINORTE,17,MAIA,"3,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00226/2012,https://www.zedudu.com.br/eleies-2012-pesquisa-gauss-em-cana-dos-carajs-garante-jeov-andrade-pmdb-ser-eleito-no-domingo/,PA,CANAÃ DOS CARAJÁS,1.0,P,0.0,,,JEOVA ANDRADE,"52,5",DRA. MARILDA,18,VALDEMAR DA PAVINORTE,16,MAIA,"3,50",DR. ITAMAR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
