tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9
BR-01063/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Eleicao-presidencial-sera-decidida-no-segundo-turno-entre-Dilma-e-Aecio-Neves.aspx,1,pr,,,,Dilma,"40,48",Aécio Neves,"27,6",Marina Silva,"20,24",Luciana Genro,"1,84",,,,,,,,,,
PR-00715/2012,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Londrina,-segundo-turno-termina-em-empate-tecnico-entre-candidatos,-com-8-de-indecisos-e-ligeira-vantagem-para-.aspx",1,p,,,,Marcelo Belinati,44,Alexandre Kireeff,42,,,,,,,,,,,,,,
PR-00719/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Maringa-Pupin-abre-vantagem-na-disputa-para-Prefeito-e-e-favorito-no-limite-da-margem-de-erro.aspx,1,p,,,,Pupin,46,Enio Verri,40,,,,,,,,,,,,,,
SP-01787/2012,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Ribeirao-Preto,-ainda-nao-e-possivel-afirmar-se-Darcy-Vera-sera-reeleita-amanha-ou-se-disputara-com-Nogueira-o-segundo-t.aspx",1,p,,,1.0,Dárcy Vera,51,Duarte Nogueira,28,Gandini,15,Chiarelli,4,,,,,,,,,,
SP-00063/2014,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Sao-Paulo,-Alckmin-e-Serra-devem-ser-eleitos-amanha.aspx",1,g,,,,Geraldo Alckmin,45,Paulo Skaf,19,Alexandre Padilha,11,,,,,,,,,,,,
SP-00063/2014,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Sao-Paulo,-Alckmin-e-Serra-devem-ser-eleitos-amanha.aspx",1,s,,,,José Serra,36,Eduardo Suplicy,27,Gilberto Kassab,7,Ana Luiza,2,Kaka Wera,1,Marlene Campos Machado,1,,,,,,
BR-01030/2014,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Sao-Paulo,-Alckmin-e-Serra-devem-ser-eleitos-amanha.aspx",1,pr,,,,Dilma,28,Marina Silva,26,Aécio Neves,24,Luciana Genro,2,,,,,,,,,,
SP-00066/2014,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Sao-Paulo,-pesquisa-de-Boca-de-Urna-mostra-reeleicao-de-Alckmin-no-limite-da-margem-de-erro--Se-houver-2%C2%BA-turno,-seu-adv.aspx",1,g,,,,Geraldo Alckmin,"43,68",Paulo Skaf,"18,48",Alexandre Padilha,"16,8",Gilberto Natalini,"1,68",Maringoni,"1,68",,,,,,,,
SP-00066/2014,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Sao-Paulo,-pesquisa-de-Boca-de-Urna-mostra-reeleicao-de-Alckmin-no-limite-da-margem-de-erro--Se-houver-2%C2%BA-turno,-seu-adv.aspx",1,s,,,,José Serra,"39,69",Eduardo Suplicy,"27,54",Gilberto Kassab,"7,29",Ana Luiza,"1,62",Kaka Wera,"1,62",,,,,,,,
SP-01933/2012,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Sorocaba,-disputa-segue-empatada-e-na-vespera-da-eleicao-nao-e-possivel-afirmar-quem-sera-o-novo-Prefeito.aspx",1,p,,,,Pannunzio,43,Renato Amary,43,,,,,,,,,,,,,,
PR-00718/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Empate-na-reta-final-traz-indefinicao-sobre-quem-sera-proximo-Prefeito-de-Ponta-Grossa.aspx,1,p,,,,Marcelo Rangel,44,Péricles,44,,,,,,,,,,,,,,
MG-00202/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Fernando-Pimentel-e-Antonio-Anastasia-sao-eleitos-governador-e-senador-em-Minas-Gerais.aspx,1,g,,,,Fernando Pimentel,"46,64",Pimenta da Veiga,"32,56",Tarcísio Delgado,"4,4",Tulio Lopes,"1,76",,,,,,,,,,
MG-00202/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Fernando-Pimentel-e-Antonio-Anastasia-sao-eleitos-governador-e-senador-em-Minas-Gerais.aspx,1,s,,,,Antonio Anastasia,"48,16",Josué Alencar,"28,38",Margarida Vieira,"3,44",Geraldo Batata,"1,72",Tarcisio,"1,72",,,,,,,,
RS-00501/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Fortunati-e-reeleito-em-Porto-Alegre.aspx,1,p,,,,Fortunati,"52,28",Manuela D'Ávila,"21,62",Villa,"9,4",Roberto Robaina,"1,88",Wambert Di Lorenzo,"1,88",,,,,,,,
PR-00722/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Gustavo-Fruet-e-eleito-prefeito-de-Curitiba.aspx,1,p,,,,Gustavo Fruet,"53,94",Ratinho Jr.,"39,06",,,,,,,,,,,,,,
