tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13
MG-01253/2012,http://g1.globo.com/minas-gerais/eleicoes/2012/noticia/2012/10/bruno-tem-60-e-margarida-40-dos-votos-validos-em-juiz-de-fora.html,MG,JUIZ DE FORA,1,p,1.0,,,Bruno Siqueira,54,Margarida Salomão,36,,,,,,,,,,,,,,,,,,,,,,
MG-01512/2018,https://veja.abril.com.br/politica/ibope-mg-zema-tem-67-dos-votos-validos-contra-33-de-anastasia/,MG,MINAS GERAIS,1,g,,,,Romeu Zema,57,Antônio Anastasia,28,,,,,,,,,,,,,,,,,,,,,,
MG-01759/2018,https://oglobo.globo.com/brasil/boca-de-urna-em-minas-ibope-indica-vitoria-de-romeu-zema-com-66-anastasia-tem-34-23193121,MG,MINAS GERAIS,1,g,,,,Romeu Zema,"57,42",Antônio Anastasia,"29,58",,,,,,,,,,,,,,,,,,,,,,
MG-03349/2018,https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-minas-gerais/,MG,MINAS GERAIS,1,g,,,1.0,Romeu Zema,41,Antonio Anastasia,29,Fernando Pimentel,22,Dirlene Marques,3.0,Adalclever Lopes,3.0,Jordano Metalúrgico,1.0,,,,,,,,,,,,,,
MG-04039/2016,https://noticias.r7.com/eleicoes-2016/minas-gerais/pesquisa-de-boca-de-urna-mostra-kalil-eleito-no-2-turno-em-bh-30102016,MG,BELO HORIZONTE,1,p,,,1.0,Alexandre Kalil,53,João Leite,47,,,,,,,,,,,,,,,,,,,,,,
MS-00042/2014,https://oglobo.globo.com/brasil/ibope-em-ms-delcidio-tem-42-reinaldo-23-14052733,MS,MATO GROSSO DO SUL,1,g,,,,Delcídio Amaral,42,Reinaldo Azambuja,23,Nelsinho Trad,16,Evander Vendramini,1.0,,,,,,,,,,,,,,,,,,
MS-00042/2014,https://www.radiocacula.com.br/noticias/brasil-mundo/pesquisa-para-senadores-simone-amplia-vantagem-sobre-bernal,MS,MATO GROSSO DO SUL,1,s,,,,Simone Tebet,37,Alcides Bernal,19,Ricardo Ayache,12,Antônio João,5.0,Lucien Rezende,1.0,Valdemir do PSTU,1.0,,,,,,,,,,,,,,
MS-00193/2012,http://g1.globo.com/mato-grosso-do-sul/eleicoes/2012/noticia/2012/09/ibope-divulga-segunda-pesquisa-de-intencao-de-voto-em-ponta-pora-ms.html,MS,PONTA PORÃ,1,p,1.0,,,Hélio,34,Ludimar,34,Alvaro Soares,18,,,,,,,,,,,,,,,,,,,,
MS-00211/2012,https://www.campograndenews.com.br/politica/pesquisa-do-ibope-aponta-empate-tecnico-com-vantagem-para-bernal,MS,CAMPO GRANDE,1,p,,,,Alcides Bernal,35,Edson Giroto,31,Reinaldo Azambuja,12,Vander Loubet,7.0,Marcelo Bluma,1.0,,,,,,,,,,,,,,,,
MT-00295/2012,https://pt.scribd.com/document/341918469/Dictamen-Procurador-Nunez,MT,SINOP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00647/2012,http://g1.globo.com/mato-grosso/eleicoes/2012/noticia/2012/10/ludio-tem-48-dos-votos-validos-e-mendes-40-diz-ibope-em-cuiaba.html,MT,CUIABÁ,1,p,1.0,,,Lúdio,43,Mauro Mendes,36,Guilherme Maluf,4,Carlos Brito,3.0,Procurador Mauro,3.0,,,,,,,,,,,,,,,,
PA-00035/2014,https://gilsonvasconcelos.blogspot.com/2014/09/simao-jatene-vence-no-1-turno-aponta.html,PA,PARÁ,1,g,1.0,1.0,,Simão Jatene,45,Helder Barbalho,39,,,,,,,,,,,,,,,,,,,,,,
PA-00035/2014,https://gilsonvasconcelos.blogspot.com/2014/09/simao-jatene-vence-no-1-turno-aponta.html,PA,PARÁ,1,g,0.0,1.0,,Simão Jatene,37,Helder Barbalho,31,,,,,,,,,,,,,,,,,,,,,,
PA-00059/2012,https://pjpontes.blogspot.com/2012/09/ibope-belem-e-parauapebas.html,PA,PARAUAPEBAS,1,p,1.0,,,Valmir da Integral,32,Coutinho,28,Chico das Cortinas,10,Rui Vassourinha,6.0,Adelson,4.0,Zezinho,1.0,,,,,,,,,,,,,,
PA-00108/2012,https://quaradouro.blogspot.com/2012_09_16_archive.html,PA,MARABÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00119/2012,https://www.jotaparente.com/2012/09/von-continua-na-frente-em-santarem.html,PA,SANTARÉM,1,p,1.0,,,Alexandre Von,39,Lucineide Pinheiro,27,José Maria Tapajós,13,Márcio Pinto,8.0,Rubson Santana,5.0,,,,,,,,,,,,,,,,
PA-00119/2012,https://www.jotaparente.com/2012/09/von-continua-na-frente-em-santarem.html,PA,SANTARÉM,1,p,0.0,,,Alexandre Von,38,Lucineide Pinheiro,12,José Maria Tapajós,12,Márcio Pinto,7.0,Rubson Santana,5.0,,,,,,,,,,,,,,,,
PA-00240/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_4.html,PA,MARABÁ,1,p,1.0,,,João Salame,46,Tião Miranda,34,Maurino Magalhães,8,César do Comércio,1.0,Manoel Rodrigues,1.0,,,,,,,,,,,,,,,,
