obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PI-00073/2014,https://guadalupeagora.blogspot.com/2014/07/wilson-martins-lidera-disputa-pelo.html,PI,PIAUÍ,1,S,1.0,,,Wilson Martins,46.0,Elmano Férrer,18.12,Professor Claudionor,3.34,Gustavo Henrique,2.81,Geraldo Carvalho,2.55,Aldir Nunes,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00073/2014,https://guadalupeagora.blogspot.com/2014/07/wilson-martins-lidera-disputa-pelo.html,PI,PIAUÍ,1,S,0.0,,,Wilson Martins,7.56,Elmano Férrer,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00073/2014,https://parnaibanomundo.blogspot.com/2014/07/juliana-reforca-campanha-com-suas-bases.html,PI,PIAUÍ,0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00073/2014,https://tioborges.blogspot.com/2014/07/,PI,PIAUÍ,1,G,0.0,,,Wellington Dias,18.82,Zé Filho,7.21,Mão Santa,1.5,Wilson Martins,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00073/2014,https://tioborges.blogspot.com/2014/07/,PI,PIAUÍ,1,G,1.0,,,Wellington Dias,53.65,Zé Filho,17.06,Mão Santa,12.4,Daniel Solon,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00075/2014,https://portaldobikanca.blogspot.com/2014/07/pesquisa-amostragem-wellington-dias-me.html,PI,PIAUÍ,1,G,1.0,,,Wellington Dias,53.12,Zé Filho,14.75,Mão Santa,12.38,Maklandel Aquino,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00075/2014,https://www.oolhar.com/pesquisa-estimulada-aponta-elmano-ferrer-a-frente-de-wilson-martins/,PI,PIAUÍ,1,S,,,,Elmano Férrer,45.75,Wilson Martins,35.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00076/2012,https://tioborges.blogspot.com/2012/06/silas-freire-e-gilberto-junior-estao.html,PI,FLORIANO,1,P,1.0,,,Gilberto Júnior,16.67,Silas Freire,15.33,Salmão Holanda,14.0,Oscar Procópio,13.67,Enéas Maia,13.33,Ana Cleide,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00076/2012,https://tioborges.blogspot.com/2012/06/silas-freire-e-gilberto-junior-estao.html,PI,FLORIANO,1,P,0.0,,,Silas Freire,4.0,Enéas Maia ,5.67,Gilberto Júnior,2.33,Oscar Procópio,6.0,Salomão Holanda,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00076/2012,https://www.meionorte.com/blogs/efremribeiro/mulher-de-silas-karitha-freire-empata-com-gilberto-junior-e-reduz-percentual-de-212128,PI,FLORIANO,1,P,1.0,,,Gilberto Júnior,15.67,Káritha Freire,15.33,Salmão Holanda,14.33,Enéas Maia,10.33,Oscar Procópio,5.67,Ana Cleide,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00082/2014,https://www.portalbocadopovo.com/2014/08/eleicoes_16.html,PI,PIAUÍ,1,G,,,,Zé Filho,52.0,Wellington Dias,28.75,Mão Santa,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00087/2014,http://www.luzilandianamidia.com/nova-pesquisa-mostra-lideranca-inalterada-de-wellington-dias-com-5356-para-o-governo-do-estado.html,PI,PIAUÍ,1,G,1.0,,,Wellington Dias,53.56,Zé Filho,21.99,Mão Santa,6.42,Maklandel Aquino,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00087/2014,http://www.luzilandianamidia.com/nova-pesquisa-mostra-lideranca-inalterada-de-wellington-dias-com-5356-para-o-governo-do-estado.html,PI,PIAUÍ,1,G,0.0,,,Wellington Dias,25.24,Zé Filho,11.43,Mão Santa,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00087/2014,https://portalcostanorte.com/pesquisa-amostragem-wilson-4283-elmano-2128/,PI,PIAUÍ,1,S,1.0,,,Wilson Martins,42.83,Elmano Férrer,21.28,Geraldo Carvalho,2.81,Gustavo Henrique,2.37,Professor Claudionor,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
