feito_por,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
FABRICIO,MA-04958/2016,https://riquinha.com.br/2016/09/23/abigail-cunha-lidera-com-4133-dos-votos-e-sera-proxima-prefeita-de-jenipapo-dos-vieiras/,14538940000143,MA,7765,1,P,1.0,,,Abigail,0.5279,Moises Ventura,0.4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-04958/2016,https://www.caiohostilio.com/2016/09/23/noticias-670/,14538940000143,MA,7765,1,P,1.0,,,Abigail,0.5279,Moises Ventura,0.4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-07712/2016,http://www.memoriasdemangabeiras.com.br/2016/07/,14538940000143,MA,9253,1,P,1.0,,,Rodrigo Coelho,0.5099,Italo Cardoso,0.2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-07712/2016,http://www.memoriasdemangabeiras.com.br/2016/09/,14538940000143,MA,9253,1,P,1.0,,,Rodrigo Coelho,0.5099,Italo Cardoso,0.2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-08559/2016,http://www.irmaoinaldo.com.br/2016_09_27_archive.html,14538940000143,MA,7315,1,P,1.0,,,Leo Coutinho,0.4432,Fabio Gentil,0.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-08559/2016,http://www.irmaoinaldo.com.br/2016/09/,14538940000143,MA,7315,1,P,1.0,,,Leo Coutinho,0.4432,Fabio Gentil,0.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-08559/2016,https://midiadabarra.blogspot.com/2016/09/,14538940000143,MA,7315,1,P,1.0,,,Leo Coutinho,0.4432,Fabio Gentil,0.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-08559/2016,https://www.45graus.com.br/caxias-ma/pesquisa-nao-divulgada-pela-oposicao-confirma-crescimento-de-leo-coutinho,14538940000143,MA,7315,1,P,1.0,,,Leo Coutinho,0.4432,Fabio Gentil,0.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MG-00034/2014,http://www.jornaldelavras.com.br/index.php?p=10&tc=4&c=8657,9028982000102,MG,MG,1,V,1.0,,,Marcos Possato,0.153,Joao Paulo Felizardo,0.113,Anderson Garçom,0.08,Dr. Sebastião,0.063,Chapisco,0.055,Daniel Costa,0.04,Edmar do Palol,0.028,Alisson Dentista,0.025,Leandro Moretti,0.025,Carlão,0.018,Cleber Pevidor,0.018,Tilili,0.018,Zé Bento,0.018,Sô Zé,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MG-00091/2012,https://www.ocorvoveloz.com.br/2012_09_16_archive.html,9028982000102,MG,47635,1,P,1.0,,,Marcos Cherem ,0.35, Silas,0.263,Dehon,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
