tse_id,instituto,estado,cidade,estimulada,vv,position,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
BR-02376/2018,DATAFOLHA,BR,BRASIL,0.0,,PR,JAIR BOLSONARO,20,LULA,9,CIRO GOMES,5,FERNANDO HADDAD,4,GERALDO ALCKMIN,3,MARINA SILVA,2,JOAO AMOEDO,2,ALVARO DIAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-03147/2018,DATAFOLHA,BR,BRASIL,1.0,,PR,JAIR BOLSONARO,32,FERNANDO HADDAD,21,CIRO GOMES,11,GERALDO ALCKMIN,9,MARINA SILVA,4,JOAO AMOEDO,3,ALVARO DIAS,2,HENRIQUE MEIRELLES,2,CABO DACIOLO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-03147/2018,DATAFOLHA,BR,BRASIL,0.0,,PR,JAIR BOLSONARO,28,FERNANDO HADDAD,16,CIRO GOMES,7,GERALDO ALCKMIN,4,LULA,1,JOAO AMOEDO,2,ALVARO DIAS,1,MARINA SILVA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-05090/2018,DATAFOLHA,RJ,RIO DE JANEIRO,1.0,,G,WILSON WITZEL,50,EDUARDO PAES,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-06919/2018,DATAFOLHA,BR,BRASIL,1.0,,PR,JAIR BOLSONARO,28,FERNANDO HADDAD,16,CIRO GOMES,13,GERALDO ALCKMIN,9,MARINA SILVA,7,ALVARO DIAS,3,JOAO AMOEDO,3,HENRIQUE MEIRELLES,2,GUILHERME BOULOS,1,VERA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-06919/2018,DATAFOLHA,BR,BRASIL,0.0,,PR,JAIR BOLSONARO,24,FERNANDO HADDAD,11,CIRO GOMES,7,GERALDO ALCKMIN,3,LULA,3,ALVARO DIAS,1,JOAO AMOEDO,2,MARINA SILVA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-04023/2018,DATAFOLHA,BR,BRASIL,1.0,,PR,LULA,39,BOLSONARO,19,MARINA SILVA,8,GERALDO ALCKMIN,6,CIRO GOMES,5,ALVARO DIAS,3,JOAO AMOEDO,2,HENRIQUE MEIRELLES,1,GUILHERME BOULOS,1,CABO DACIOLO,1,VERA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-04023/2018,DATAFOLHA,BR,BRASIL,1.0,,PR,JAIR BOLSONARO,22,MARINA SILVA,16,CIRO GOMES,10,GERALDO ALCKMIN,9,ALVARO DIAS,4,FERNANDO HADDAD,4,JOAO AMOEDO,2,HENRIQUE MEIRELLES,2,VERA,1,CABO DACIOLO,1,GUILHERME BOULOS,1,JOAO GOULART FILHO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-04023/2018,DATAFOLHA,BR,BRASIL,0.0,,PR,LULA,20,BOLSONARO,15,CIRO GOMES,2,GERALDO ALCKMIN,2,MARINA SILVA,2,ALVARO DIAS,1,JOAO AMOEDO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00270/2018,ARBEIT,PR,PARANA,0.0,,G,RATINHO JR,"12,80",CIDA BORGHETTI,"6,33",JOAO ARRUDA,"3,33",DR. ROSINHA,"1,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00270/2018,ARBEIT,PR,PARANA,1.0,,G,RATINHO JR,"35,27",CIDA BORGHETTI,19,JOAO ARRUDA,"9,07",DR. ARRUDA,"4,07",OGIER BUCHI,"1,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00270/2018,ARBEIT,PR,PARANA,1.0,,S,REQUIAO,"30,80",FLAVIO,"16,33",ALEX,"15,74",BETO,"13,93",PROFESSOR ORIOVISTO GUIMARÃES,"8,8",MIRIAN GONÇALVES,"4,8",RODRIGO TOMAZINI,"1,47",RODRIGO REIS,1,ZE BONI,"1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-06675/2018,ARBEIT,PR,PARANA,0.0,,G,RATINHO JR,"4,20",OSMAR DIAS,"3,40",CIDA BORGHETTI,"2,33",ROBERTO REQUIAO,"1,33",ALVARO DIAS,"1,20",BETO RICHA,"1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
