obs,outro id,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,,DF-00036/2014,http://www.saopaulonasentrelinhas.com.br/2014/08/pesquisa-aponta-marina-silva-com-521-em.html,20252668000133,DF,DISTRITO FEDERAL,1,PR,,,,MARINA SILVA,"52,1",DILMA ROUSSEFF,"17,9",AECIO NEVES,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00051/2014,http://sistema.blogdogbu.com/2014/09/,20252668000133,DF,DISTRITO FEDERAL,1,G,,,,RODRIGO ROLLEMBERG,"25,3",AGNELO QUEIROZ,"23,1",JOFRAN FREJAT,"19,6",LUIZ PITIMAN,"10,2",TONINHO,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00051/2014,http://www.saopaulonasentrelinhas.com.br/2014/09/os-10-mais-votados-para-o-parlamento.html,20252668000133,DF,DISTRITO FEDERAL,1,DE,,,,AGACIEL MAIA,"3,8",LILIANE RORIZ,"2,9",RISOMAR CARVALHO,2,CHICO LEITE,"1,5",PAULO RORIZ,"1,4",BISPO RENATO,"1,2",CHICO VIGILANTE,"1,2",JUAREZAO,"1,2",JULIO CESAR,"1,2",DR. MICHEL,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00064/2014,https://skyscraperpage.com/forum/showthread.php?t=201031&page=73,20252668000133,DF,DISTRITO FEDERAL,1,G,1.0,,,RODRIGO ROLLEMBERG,"31,3",AGNELO,23,JOFRAN,"23,3",LUIZ PITIMAN,"5,8",TONINHO DO PSOL,"4,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GO-00001/2014,https://cidademais.blogspot.com/,5850850000100,GO,GOIÁS,1,G,0.0,,,MARCONI PERILLO,18,IRIS REZENDE,7,VANDERLAN,3,JUNIOR FRIBOI,2,ANTONIO GOMIDE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GO-00001/2014,https://cidademais.blogspot.com/,5850850000100,GO,GOIÁS,1,G,1.0,,,MARCONI PERILLO,39,VANDERLAN,20,FRIBOI,13,ANTONIO GOMIDE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GO-00010/2012,https://issuu.com/jameskalel/docs/jornal_do_pt_marco_web,5850850000100,GO,GOIÂNIA,1,P,0.0,,,PAULO GARCIA,"9,4",IRIS RESENDE,"1,8",ELIAS VAZ,"1,5",LEONARDO VILELA,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GO-00010/2012,https://issuu.com/jameskalel/docs/jornal_do_pt_marco_web,5850850000100,GO,GOIÂNIA,1,P,1.0,,,PAULO GARCIA,"28,7",ELIAS VAZ,13,LEONARDO VILELA,"8,7",JOVAIR ARANTES,"5,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GO-00011/2016,http://www.jornaldiariodonorte.com.br/noticias/junior-moreira-lidera-em-mambai-com-48-75-20090940,20252668000133,GO,JARAGUÁ,1,P,0.0,,,JUNIOR MOREIRA,"41,88",JOAQUIM BARBOSA,"30,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GO-00011/2016,http://www.jornaldiariodonorte.com.br/noticias/junior-moreira-lidera-em-mambai-com-48-75-20090940,20252668000133,GO,JARAGUÁ,1,P,1.0,,,JUNIOR MOREIRA,"48,75",JOAQUIM BARBOSA,"37,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
