NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
CUBATÃO,ADEIDO HELIODORO SANTOS,ADEILDO HELIODORO SANTOS,DINHO HELIODORO,,
NOVA IGUACU,LECI CARVALHO SILVA,LECI CARVALHO E SILVA,PROFESSORA LECI,,
FARROUPILHA,CLEITON GONCALVES,CLAITON GONCALVES,CLAITON,,
APUCARANA,ARMANDO DIADOSKI,ARMANDO DIADOSK,DIADOSK,,
CAMPO MOURAO,EVALDO BERTOLDO,EVALDO BERTOLDI,PROFESSOR EVALDO BERTOLDI,,
SILVA JARDIM,MARCELO CABREIRA XAVIER,MARCELLO CABREIRA XAVIER,ZELAO,,
JOSE DE FREITAS,MARIA GRACAS BRASILIO ALMENDRA FREITAS,MARIA GRACAS BASILIO ALMENDRA FREITAS,MARIA FREITAS,,
PIMENTA BUENO,JEAN,JEAN HENRIQUE GEROLOMO MENDONCA,JEAN MENDONCA,,
PIMENTA BUENO,EDIMAR,EDIMAR COSMO SILVA,EDIMAR COSMO,,
VILHENA,JOSE ROVER,JOSE LUIZ ROVER,ZE ROVER,,
JARU,JEAN CARLOS,JEAN CARLOS SANTOS,JEAN,,
MANAUS,VANESSA,VANESSA GRAZZIOTIN,VANESSA GRAZZIOTIN,,
MANAUS,HENRIQUE,JOSE HENRIQUE OLIVEIRA,HENRIQUE OLIVEIRA,,
MANAUS,SABINO,RAIMUNDO SABINO CASTELO BRANCO MAUES,SABINO CASTELO BRANCO,,
MANAUS,ARTHUR VIRGILIO,ARTHUR VIRGILIO CARMO RIBEIRO NETO,ARTUR NETO,,
MANAUS,SERAFIM CORREA,SERAFIM FERNANDES CORREA,SERAFIM,,
MANAUS,PAUDERNEY AVELINO,PAUDERNEY TOMAZ AVELINO,PAUDERNEY,,
ANANINDEUA,RUI,RUI BEGOT ROCHA,RUI BEGOT,,
ANANINDEUA,EMERSON V,EMERSON GRACAS VALADARES,EMERSON VALADARES,,
BELÉM,EDMILSON,EDMILSON BRITO RODRIGUES,EDMILSON RODRIGUES,,
BELÉM,ZENALDO,ZENALDO RODRIGUES COUTINHO JUNIOR,ZENALDO COUTINHO,,
BELEM,EDMILSON,EDMILSON BRITO RODRIGUES,EDMILSON RODRIGUES,,
BELEM,ZENALDO,ZENALDO RODRIGUES COUTINHO JUNIOR,ZENALDO COUTINHO,,
BELEM,ANIVALDO,ANIVALDO JUVENIL VALE,ANIVALDO VALE,,
BELEM,JOSE PRIANTE,JOSE BENITO PRIANTE JUNIOR,PRIANTE,,
BELEM,ARNALDO JORDY,ARNALDO JORDY FIGUEIREDO,JORDY,,
BELEM,ALFREDO COSTA,ALFREDO CARDOSO COSTA,ALFREDO,,
BRAGANCA,NELSON MAGALHAES,JOAO NELSON PEREIRA MAGALHAES,PE NELSON MAGALHAES,,
CUMARU DO NORTE,CLEUSA TEMPONI,CLEUSA GONCALVES VIEIRA TEMPONI,DONA CLEUSA TEMPONI,,
CONCEICAO DO ARAGUAIA,VALTER PEIXOTO,VALTER RODRIGUES PEIXOTO,VALTER E VALTER PEIXOTO,,
CONCEICAO DO ARAGUAIA,ALBERTO,JOSE ALBERTO SOUSA BRANCO,ALBERTO BRANCO,,
CONCEICAO DO ARAGUAIA,EDUARDO,EDUARDO AUGUSTO QUEIROZ,EDUARDO QUEIROZ,,
BANNACH,GERALDO FERNANDES,GERALDO FERNANDES OLIVEIRA,GE FERNANDES,,
BANNACH,LUCINEIA,LUCINEIA ALVES SILVA OLIVEIRA,LUCINEIA FERNANDES,,
ITUPIRANGA,ADECIMO,ADECIMO GOMES SANTOS,ADECIMO GOMES,,
JURUTI,LUCIDIA BATISTA,LUCIDIA BENITAH ABREU BATISTA,LUCIDIA,,
MARABA,SEBASTIAO MIRANDA,SEBASTIAO MIRANDA FILHO,TIAO MIRANDA,,
MARABA,SALAME,JOAO SALAME NETO,JOAO SALAME,,
MARABA,MAURINO,MAURINO MAGALHAES LIMA,MAURINO MAGALHAES,,
MARABA,JOAO,JOAO SALAME NETO,JOAO SALAME,,
MUANA,MURILO,SERGIO MURILO SANTOS GUIMARAES,MURILO POVO,,
OBIDOS,MARIO HENRIQUE,MARIO HENRIQUE SOUZA GUERREIRO,PROFESSOR MARIO HENRIQUE,,
OBIDOS,WALDER FLORENZANO,WALDER PATRICIO CARVALHO FLORENZANO,DR WALDER FLORENZANO,,
SANTAREM,LUCINEIDE PINHEIRO,RAIMUNDA LUCINEIDE GONCALVES PINHEIRO,LUCINEIDE,,
TUCURUI,JONES,JONES WILLIAM SILVA GALVAO,JONES WILLIAM,,
REDENCAO,JORGE PAULO,JORGE PAULO SILVA,JPC,,
PARAUAPEBAS,VALMIR,VALMIR QUEIROZ MARIANO,VALMIR INTEGRAL,,
CURIONOPOLIS,ADONEI,ADONEI SOUSA AGUIAR,ADONEI AGUIAR,,
ALTAMIRA DO MARANHÃO,ARNALDO GOMES,ARNALDO GOMES SOUSA,ARNALDO,,
BACABEIRA,FERNANDA,CARLA FERNANDA REGO GONCALO,FERNANDA GONCALO,,
ANAPURUS,VANDERLY,VANDERLY SOUSA NASCIMENTO MAONTELES,PROFESSORA VANDERLY,,
ARARI,MARIA,MARIA ALVES MUNIZ,SIMPLESMENTE MARIA,,
BALSAS,PAULO FONSECA,PAULO TARSO FONSECA FILHO,PAULINHO FONSECA,,
BALSAS,APARECIDA,MARIA APARECIDA CARDOSO SOUSA,APARECIDA CARDOSO,,
CAXIAS,PAULO MARINHO,PAULO CELSO FONSECA MARINHO JUNIOR,PAULINHO,,
GOVERNADOR ARCHER,MARIA JESUS MONTEIRO,MARIA JESUS MONTEIRO SANTOS,DRA JESUS,,
JOAO LISBOA,JOCELIO,JOCELIO NUNES SILVA,JOCELIO NUNES,,
JOAO LISBOA,LUIS VICENTE,LUIS VICENTE ALMEIDA,IRMAO LUIS VICENTE,,
MATA ROMA,GLINOEL GARRETO,GLINOEL OLIVEIRA GARRETO,GLINOEL,,
MATA ROMA,BESALIEL ALBUQUERQUE,BESALIEL FREITAS ALBUQUERQUE,BESALIEL,,
PEDREIRAS,LIMA,JOSE IVALDO OLIVEIRA LIMA,IVALDO LIMA,,
PINHEIRO,VALDENY,VALDENY BARROS,COMPANHEIRO VALDENY,,
PRESIDENTE DUTRA,JURAN CARVALHO,JURAN CARVALHO SOUSA,DR JURAN,,
PRESIDENTE DUTRA,PRISCYLLA SA,PRISCYLLA BONIFACIO OLIVEIRA SA,PRISCYLLA,,
PRESIDENTE DUTRA,ITAMAR,ITAMAR LUCENA LIMA,ITAMAR LUCENA,,
PRESIDENTE DUTRA,JURIVAN,JURIVAN CARVALHO SOUSA,JURIVAN CARVALHO,,
SANTA HELENA,ZEZILDO,ZEZILDO ALMEIDA JUNIOR,ZEZILDO ALMEIDA,,
SANTA HELENA,LOBATO,JOAO JORGE LOBATO,DR LOBATO,,
SÃO JOÃO DOS PATOS,ARICELLI,ARICELLI MARIA LOPES SA,DRA ARICELLI,,
SÃO LUÍS,EDIVALDO JUNIOR,EDIVALDO HOLANDA BRAGA JUNIOR,EDIVALDO HOLANDA JUNIOR,,
SAO LUIS,JOAO CASTELO,JOAO CASTELO RIBEIRO GONCALVES,CASTELO,,
SAO LUIS,WASHINGTON OLIVEIRA,JOAQUIM WASHINGTON LUIZ OLIVEIRA,WASHINGTON,,
SAO LUIS,HOLANDA JUNIOR,EDIVALDO HOLANDA BRAGA JUNIOR,EDIVALDO HOLANDA JUNIOR,,
TIMON,EDIVAR,EDIVAR JESUS RIBEIRO,EDIVAR RIBEIRO,,
TUNTUM,CLEOMAR TEMA,CLEOMAR TEMA CARVALHO CUNHA,TEMA,,
URBANO SANTOS,IRACEMA CRISTINA,IRACEMA CRISTINA LIMA VALE,IRACEMA,,
URBANO SANTOS,LEA COSTA,LEA CRISTINA COSTA SILVA,LEA,,
URBANO SANTOS,IRACEMA VALE,IRACEMA CRISTINA LIMA VALE,IRACEMA,,
AGUA BRANCA,JONAS MOURA,JONAS MOURA ARAUJO,JONAS,,
BOM JESUS,MARCOS ELVAS,MARCOS ANTONIO PARENTE ELVAS COELHO,MARCOS,,
CAPITAO DE CAMPOS,MOISES,MOISES AUGUSTO LEAL BARBOSA,MOISES BARBOSA,,
OEIRAS,MARGARETT CARVALHO,MARGARETT MARIA CARVALHO,MARGARETT,,
PARNAÍBA,FLORENTINO NETO,FLORENTINO ALVES VERAS NETO,FLORENTINO,,
PARNAIBA,VINICIUS,CARLOS VINICIUS ALMEIDA BATISTA,DR VINICIUS,,
PARNAIBA,FLORENTINO VERAS,FLORENTINO ALVES VERAS NETO,FLORENTINO,,
PARNAIBA,FLORENTINO NETO,FLORENTINO ALVES VERAS NETO,FLORENTINO,,
PARNAIBA,FLORENTINO ALVES,FLORENTINO ALVES VERAS NETO,FLORENTINO,,
PICOS,GLEUTON PORTELA,GLEUTON ARAUJO PORTELA,DR GLEUTON PORTELA,,
PIRIPIRI,ODIVAL,ODIVAL JOSE ANDRADE,ODIVAL ANDRADE,,
SEBASTIAO LEAL,ANGELO PEREIRA,ANGELO PEREIRA SOUSA,ANGELO,,
TERESINA,MAKLANDEL AQUINO,MAKLANDEL AQUINO MATOS,MAKLANDEL,,
URUCUI,RENATA ARAUJO,DEBORA RENATA COELHO ARAUJO,RENATA,,
URUCUI,VALDIR SOARES,VALDIR SOARES COSTA,DR VALDIR,,
TEJUCUOCA,VALMAR BERNARDO,FRANCISCO VALMAR MOTA BERNARDO,VALMAR,,
CASCAVEL,TIAGO RIBEIRO,TIAGO LUTIANI OLIVEIRA RIBEIRO,TIAGO,,
CATARINA,RAFAEL,RAFAEL RUFINO MELO PAES ANDRADE,DR RAFAEL,,
FORTALEZA,MORONI TORGAN,MORONI BING TORGAN,MORONI,,
FORTALEZA,ELMANO FREITAS,ELMANO FREITAS COSTA,ELMANO,,
FORTALEZA,HEITOR,HEITOR CORREIA FERRER,HEITOR FERRER,,
FORTALEZA,FRANCISCO GONZAGA,FRANCISCO CHAGAS GONZAGA,GONZAGA,,
JARDIM,ANALEDA,ANALEDA NEVES SAMPAIO,ANALEDA LUZ,,
MISSÃO VELHA,WASHINGTON,WASHINGTON LUIZ MACEDO FECHINE,WASHINGTON FECHINE,,
MISSÃO VELHA,TARDINY,TARDINY PINHEIRO ROBERTO,DR TARDINY,,
SOBRAL,ESTEVAO,ESTEVAO PONTE FILHO,DOUTOR ESTEVAO,,
TENENTE LAURENTINO CRUZ,JUNIOR,AIRTON LAURENTINO JUNIOR,JUNIOR LAURENTINO,,
SAO MIGUEL DO GOSTOSO,RENATO,JOSE RENATO TEIXEIRA SOUZA,RENATO DOQUINHA,,
ALTO DO RODRIGUES,ABELARDO,ABELARDO RODRIGUES FILHO,ABELARDO RODRIGUES,,
APODI,FLAVIANO MONTEIRO,FLAVIANO MOREIRA MONTEIRO,FLAVIANO,,
CEARA-MIRIM,MARCILIO DANTAS,MARCILIO MORAIS DANTAS,DR MARCILIO,,
CEARA-MIRIM,EDNOLIA,MARIA EDNOLIA CAMARA FERREIRA MELO,EDNOLIA MELO,,
CEARA-MIRIM,MARCILIO,MARCILIO MORAIS DANTAS,DR MARCILIO,,
GOVERNADOR DIX-SEPT ROSADO,ANAX VALE,ANAXIMANDRO RODRIGUES VALE COSTA,ANAX,,
LAJES PINTADAS,NIVALDO ALVES,NIVALDO ALVES SILVA,NIVALDO,,
MACAÍBA,FERNANDO CUNHA,FERNANDO CUNHA LIMA BEZERRA,DR FERNANDO,,
MACAÍBA,FERNANDO,FERNANDO CUNHA LIMA BEZERRA,DR FERNANDO,,
MACAÍBA,MARILIA,MARILIA PEREIRA DIAS,MARILIA DIAS,,
MACAIBA,FERNANDO CUNHA,FERNANDO CUNHA LIMA BEZERRA,DR FERNANDO,,
MACAIBA,MARILIA,MARILIA PEREIRA DIAS,MARILIA DIAS,,
MACAIBA,MENGUITA,LUIZ GONZAGA MENGUITA COSTA,DR MENGUITA,,
MACAÍBA,EMIDIO,EDIVALDO EMIDIO SILVA,EDIVALDO EMIDIO,,
MACAÍBA,RITA CASSIA,RITA CASSIA OLIVEIRA PEREIRA,RITA,,
MACAU,KERGINALDO PINTO,KERGINALDO PINTO NASCIMENTO,KERGINALDO,,
MACAU,FATIMA JACOME,MARIA FATIMA JACOME BEZERRA DINIZ,FATIMA,,
MACAU,MAGALI,MAGALI MARCELINO CUNHA MENESES,MAGALI MARCELINO,,
MACAU,JOAD,JOAD FONSECA SILVA,JOAD FONSECA,,
MACAU,OSCAR,OSCAR JOSE PAULINO SOUZA,OSCAR PAULINO,,
MACAU,RAIMUNDO NONATO,RAIMUNDO NONATO SILVA,RAIMUNDO,,
MACAU,CLEDINA,CLEDINA ECLESIA CHIANCA DOURADO LEMOS,CLEDINA LEMOS,,
MACAU,WESCLEY,WESCLEY COSTA MARINHO SOUZA,MARINHO,,
MOSSORO,CLAUDIONOR,CLAUDIONOR ANTONIO SANTOS,CLAUDIONOR SANTOS,,
NATAL,ROGERIO MARINHO,ROGERIO SIMONETTI MARINHO,ROGERIO,,
NATAL,CARLOS EDUARDO ALVES,CARLOS EDUARDO NUNES ALVES,CARLOS EDUARDO,,
NATAL,ROBERIO PAULINO,ROBERIO PAULINO RODRIGUES,PROFESSOR ROBERIO,,
PARELHAS,FRANCISCO,FRANCISCO ASSIS MEDEIROS,FRANCISCO PT,,
PARNAMIRIM,GILSON,FRANCISCO GILSON MOURA,GILSON MOURA,,
PARNAMIRIM,HOLANDA,JOAO BATISTA TERTO HOLANDA,PROFESSOR TITA HOLANDA,,
PAU DOS FERROS,FABRICIO,LUIZ FABRICIO REGO TORQUATO,FABRICIO TORQUATO,,
SANTA CRUZ,PERICLES ROCHA,JOSE PERICLES FARIAS ROCHA,PERICLES,,
SANTA CRUZ,FERNANDA COSTA,FERNANDA COSTA BEZERRA,DRA FERNANDA,,
SANTA CRUZ,PETRONIO SPINELLI,PETRONIO SOUZA SPINELLI,DR PETRONIO,,
SANTA CRUZ,JOSEMAR,JOSEMAR FERREIRA BEZERRA,JOSEMAR BEZERRA,,
SANTA CRUZ,EDMILSON SILVA,MANOEL EDMILSON SILVA,EDMILSON RADIO,,
SANTA CRUZ,MONIK,JEFFERSON MONIK LIMA MELO,MONIK MELO,,
SANTA CRUZ,PAULO CESAR,PAULO CESAR GOMES MORAIS,PAULO CESAR BEIJU,,
SAO PAULO DO POTENGI,LEONEL,LEONEL NICACIO CUNHA,LEONEL NICACIO,,
SAO PAULO DO POTENGI,ERIVAN,ERIVAN ALVES FARIAS,ERIVAN SEU ELINO,,
SAO RAFAEL,RENO MARINHO,RENO MARINHO MACEDO SOUZA,RENO,,
BAYEUX,EXPEDITO PEREIRA,EXPEDITO PEREIRA SOUZA,DR EXPEDITO,,
CABEDELO,WELLINGTON,WELLINGTON SOUZA BRITO,WELLINGTON BRITO,,
CABEDELO,PAULO,PAULO NOGUEIRA BARBOSA,PAULO NOGUEIRA,,
CAJAZEIRAS,CARLOS ANTONIO,CARLOS ANTONIO ARAUJO OLIVEIRA,DOUTOR CARLOS,,
CAJAZEIRAS,GILDEMAR PONTES,CARLOS GILDEMAR PONTES,PROF GILDEMAR PONTES,,
CAJAZEIRAS,HUMBERTO ABREU,HUMBERTO ABREU PESSOA,HUMBERTO COLEGUINHA,,
CAMPINA GRANDE,TATIANA MEDEIROS,TATIANA OLIVEIRA MEDEIROS,TATIANA,,
JOÃO PESSOA,JOSE MARANHAO,JOSE TARGINO MARANHAO,ZE MARANHAO,,
JOÃO PESSOA,ESTELIZABEL BEZERRA,ESTELIZABEL BEZERRA SOUZA,ESTELA,,
JOAO PESSOA,JOSE MARANHAO,JOSE TARGINO MARANHAO,ZE MARANHAO,,
JOAO PESSOA,ESTELIZABEL BEZERRA,ESTELIZABEL BEZERRA SOUZA,ESTELA,,
JOAO PESSOA,CICERO,CICERO LUCENA FILHO,CICERO LUCENA,,
JOAO PESSOA,MARANHAO,JOSE TARGINO MARANHAO,ZE MARANHAO,,
AFOGADOS DA INGAZEIRA,JOSE PATRIOTA,JOSE COIMBRA PATRIOTA FILHO,PATRIOTA,,
CARNAÍBA,DIOGENES,DIOGENES ANTONIO GOMES SILVA,DIOGENES GOMES,,
CARUARU,JOSE QUEIROZ,JOSE QUEIROZ LIMA,ZE QUEIROZ,,
GARANHUNS,IZAIAS REGIS,IZAIAS REGIS NETO,IZAIAS,,
GARANHUNS,SILVINO DUARTE,SILVINO ANDRADE DUARTE,SILVINO,,
IBIMIRIM,SILVIO ERALDO,SILVIO ERALDO GOMES SILVA,DR SILVIO ERALDO,,
JOÃO ALFREDO,MARIA SEBASTIANA,MARIA SEBASTIANA CONCEICAO,MARIA,,
LAJEDO,ROSSINE BLESMANY,ROSSINE BLESMANY SANTOS CORDEIRO,ROSSINE,,
OLINDA,IZABEL,IZABEL URQUIZA GODOI ALMEIDA,IZABEL URQUIZA,,
OLINDA,RENILDO,RENILDO VASCONCELOS CALHEIROS,RENILDO CALHEIROS,,
OLINDA,MOZELITO,MOZELITO ALMEIDA,MOZELITO ALMEIDA,,
OLINDA,TEOFILO,TEOFILO CORREIA CAVALCANTI,TEOFILO HOMEM POVO,,
OLINDA,ALGERIO,ALGERIO ANTONIO SILVA,ALGERIO A NOSSA VOZ,,
PAULISTA,SOUZA,ANTONIO RICARDO CABRAL SOUZA,NENA CABRAL,,
PAULISTA,SEVERINO RAMOS,SEVERINO RAMOS SANTANA,RAMOS,,
PETROLINA,JULIO LOSSIO,JULIO EMILIO LOSSIO MACEDO,JULIO,,
RECIFE,MENDONCA FILHO,JOSE MENDONCA BEZERRA FILHO,MENDONCA,,
SÃO JOSÉ DO EGITO,ROMERIO,ROMERIO AUGUSTO GUIMARAES,DR ROMERIO,,
SERRA TALHADA,SEBA,SEBASTIAO IGNACIO OLIVEIRA JUNIOR,SEBASTIAO OLIVEIRA,,
SERRA TALHADA,LUCIANO,LUCIANO DUQUE GODOY SOUSA,LUCIANO DUQUE,,
SERRA TALHADA,SEBASTIAO,SEBASTIAO IGNACIO OLIVEIRA JUNIOR,SEBASTIAO OLIVEIRA,,
SERTÂNIA,CLEIDE FERREIRA,LUCICLEIDE XAVIER FERREIRA SANTOS,CLEIDE,,
TORITAMA,ODON FERREIRA,ODON FERREIRA CUNHA,ODON,,
MACEIÓ,ALEXANDRE FLEMING,ALEXANDRE FLEMING VASQUES BASTOS,FLEMING,,
MACEIÓ,NADJA BAIA,NADJA SOARES BAIA,NADJA,,
MACEIO,NADJA BAIA,NADJA SOARES BAIA,NADJA,,
MACEIO,ALEXANDRE FLEMING,ALEXANDRE FLEMING VASQUES BASTOS,FLEMING,,
CAPELA,EZEQUIEL FERREIRA,EZEQUIEL FERREIRA LEITE NETO,EZEQUIEL,,
CARMOPOLIS,ESMERALDA CRUZ,ESMERALDA MARA SILVA CRUZ,ESMERALDA,,
BRUMADO,MARIZETE PEREIRA,MARIZETE LISBOA FERNANDES PEREIRA,MARIZETE,,
CANSANCAO,ANDERSON MOURA,ANDERSON MOURA FERREIRA,DR ANDERSON MOURA,,
FEIRA DE SANTANA,RONALDO,JOSE RONALDO CARVALHO,JOSE RONALDO,,
FEIRA DE SANTANA,TARCIZIO,TARCIZIO SUZART PIMENTA JUNIOR,TARCIZIO PIMENTA,,
FEIRA DE SANTANA,NETO,JOSE CERQUEIRA SANTANA NETO,ZE NETO,,
ITABUNA,VANE,CLAUDEVANE MOREIRA LEITE,VANE RENASCER,,
ITUBERA,DENILSON,DENILSON CONCEICAO NASCIMENTO,APOSTOLO DENILSON,,
LIVRAMENTO DE NOSSA SENHORA,RICARDO RIBEIRO,JOSE RICARDO ASSUNCAO RIBEIRO,RICARDINHO,,
MIRANGABA,DIRCEU MENDES,DIRCEU MENDES RIBEIRO,DIRCEU ALBERTO,,
MONTE SANTO,JOSE RUDIVAL,JOSE RUDIVAL SANTOS OLIVEIRA,DR JOSE RUDIVAL,,
SALVADOR,ROGERIO LUZ,ROGERIO TADEU LUZ,DA LUZ,,
SAO FRANCISCO DO CONDE,ANTONIO CALMON,ANTONIO CARLOS VASCONCELOS CALMON,CALMON,,
VITORIA DA CONQUISTA,GUILHERME MENEZES,GUILHERME MENEZES ANDRADE,GUILHERME,,
XIQUE-XIQUE,RENAN BRAGA,RENAN TEIXEIRA BRAGA,RENAN,,
PONTO DOS VOLANTES,JULIO,JULIO ANTONIO ROCHA,PADRE JULIO,,
BARBACENA,DANUZA BIAS,DANUZA BIAS FORTES CARNEIRO,DANUZA BIAS FORTES,,
BELO HORIZONTE,FLISTER,ALFREDO FLISTER,DR ALFREDO FLISTER,,
BELO HORIZONTE,PEDRO PAULO PINHEIRO,PEDRO PAULO ABREU PINHEIRO,PEPE,,
ITABIRA,RONALDO,RONALDO LAGE MAGALHAES,RONALDO MAGALHAES,,
LAGOA SANTA,BRENO SALOMAO,BRENO SALOMAO GOMES,BRENO,,
MONTES CLAROS,JAIRO ATAIDE,JAIRO ATAIDE VIEIRA,JAIRO,,
PASSOS,COSSIMO BALTAZAR,COSSIMO BALTAZAR FREITAS,COSSIMO,,
UBERABA,WAGNER JUNIOR,WAGNER NASCIMENTO JUNIOR,WAGNER NASCIMENTO JUNIOR,,
UBERABA,ADELMO CARNEIRO,ADELMO CARNEIRO LEAO,ADELMO,,
VARGINHA,RENATO PAIVA,RENATO REZENDE PAIVA,RENATO,,
LAGUNA CARAPÃ,INACIO,INACIO SILVA ESPINDOLA,INACIO ESPINDOLA,,
CACHOEIRO DE ITAPEMIRIM,CARLOS CASTEGLIONE,CARLOS ROBERTO CASTEGLIONE DIAS,CASTEGLIONE,,
CARIACICA,ADILSON AVELINA,ADILSON AVELINA SANTOS,AVELINA,,
COLATINA,JOSIAS VITORIA,JOSIAS MARIO VITORIA,DA VITORIA,,
LINHARES,JOAO LUIZ TEIXEIRA,JOAO LUIZ CUNHA TEIXEIRA,PROFESSOR JOAO LUIZ TEIXEIRA,,
LINHARES,MILENA CEOLIN,MILENA MOTA CEOLIN,MILENA,,
SERRA,JOSE VENTURINI,JOSE NICODEMOS VENTURINI,VENTURINI,,
SERRA,AUDIFAX BARCELOS,AUDIFAX CHARLES PIMENTEL BARCELOS,AUDIFAX,,
VILA VELHA,NEUCIMAR FRAGA,NEUCIMAR FERREIRA FRAGA,NEUCIMAR,,
VITORIA,REZENDE,LUCIANO SANTOS REZENDE,LUCIANO REZENDE,,
VITORIA,MONTALVANI LIMA,MONTALVANI SOUSA LIMA,MONTALVANI,,
VITORIA,LUIZ PAULO VELLOZO,LUIZ PAULO VELLOZO LUCAS,LUIZ PAULO,,
CAMPOS DOS GOYTACAZES,JOSE GERALDO,JOSE GERALDO MOREIRA CHAVES,"JOSE GERALDO, ZE GERALDO",,
IGUABA GRANDE,GRASIELLA MAGALHAES,ANA GRASIELLA MOREIRA FIGUEIREDO MAGALHAES,GRASIELLA,,
IGUABA GRANDE,HUGO CANELLAS,HUGO CANELLAS RODRIGUES FILHO,HUGUINHO,,
ITAGUAI,VALLE,ALEXANDRE VALLE CARDOSO,ALEXANDRE VALLE,,
ITAGUAI,MARCIA,MARCIA PEREIRA CHEREGHINI PAULA,PASTORA MARCIA CHEREGHINI,,
ITAGUAI,MOTA,LUCIANO CARVALHO MOTA,LUCIANO MOTA,,
ITAGUAI,BRITO,ARAMIS BRITO BEZERRA JUNIOR,ARAMIS BRITO,,
MACAE,CHRISTINO AUREO,CHRISTINO AUREO SILVA,CHRISTINO,,
MACAE,NILSON MENDONCA,NILSON BARRETO MENDONCA,PASTOR NILSON MENDONCA,,
NITEROI,FELIPE PEIXOTO,FELIPE SANTOS PEIXOTO,FELIPE,,
AVARÉ,JO SILVESTRE,JOSELYR BENEDITO COSTA SILVESTRE,JOSELYR SILVESTRE,,
BARRA DO TURVO,ROSANA,ROSANA MENDES LIMA,ROSANA EDINHO,,
BIRITIBA MIRIM,EVERALDO,EVERALDO SILVA,EVERALDO SILVA,,
CARAPICUIBA,JOAO PEREIRA,JOAO PEREIRA SANTOS,DR JOAO PEREIRA,,
CARAPICUIBA,ROBERTO ARAGAO,ROBERTO SANTOS ARAGAO,IRMAO ARAGAO,,
CUBATAO,PEDRO SA,PEDRO SA FILHO,ENGENHEIRO PEDRINHO SA,,
DIADEMA,REALI,MARIO WILSON PEDREIRA REALI,MARIO REALI,,
DIADEMA,MICHELS,LAURO MICHELS SOBRINHO,LAURO MICHELS,,
DIADEMA,IVANCI,IVANCI VIEIRA SANTOS,PROF IVANCI,,
FARTURA,REGINA CELIA,REGINA CELIA ERUSTES COSTA,CELIA,,
GUARUJA,RIBAMAR BRANDAO,JOSE RIBAMAR BELIZARIO BRANDAO,RIBAMAR,,
GUARULHOS,SEBASTIAO ALMEIDA,SEBASTIAO ALVES ALMEIDA,ALMEIDA,,
GUARULHOS,WAGNER FREITA,ANDERSON WAGNER OLIVEIRA FREITAS,PROFESSOR ANDERSON W,,
ITAPETININGA,LUIS DI FIORI,LUIS ANTONIO DI FIORI FIORES COSTA,DI FIORI,,
ITAPEVI,MARCOS GODOY,MARCOS FERREIRA GODOY,TECO,,
ITAPEVI,CARAMEZ,JOAO CARLOS CARAMEZ,JOAO CARAMEZ,,
LOUVEIRA,JOSUE PAULA,JOSUE PAULA MATTOS,DR JOSUE PAULA,,
MAUÁ,DINIZ,DINIZ LOPES SANTOS,DINIZ LOPES,,
MAUÁ,OZELITO,OZELITO JOSE BENEDITO,IRMAO OZELITO,,
MAUÁ,VANESSA,VANESSA DAMO OROSCO,VANESSA DAMO,,
MAUA,DINIZ,DINIZ LOPES SANTOS,DINIZ LOPES,,
MONGAGUA,PEDRO HOMEM,PEDRO EDUARDO CARVALHO HOMEM,DR PEDRO,,
PILAR DO SUL,DANIEL SILVA,DANIEL NUNES SILVA,DANIEL SILVA (COREIRO),,
PRAIA GRANDE,ALBERTO MOURAO,ALBERTO PEREIRA MOURAO,MOURAO,,
RIBEIRAO PIRES,MARIA INES SOARES,MARIA INES ALMEIDA SOARES,MARIA INES,,
RIBEIRÃO PRETO,DUARTE NOGUEIRA,ANTONIO DUARTE NOGUEIRA JUNIOR,NOGUEIRA,,
RIBEIRAO PRETO,DUARTE NOGUEIRA JUNIOR,ANTONIO DUARTE NOGUEIRA JUNIOR,NOGUEIRA,,
RIBEIRAO PRETO,JOAO GANDINI,JOAO AGNALDO DONIZETI GANDINI,GANDINI,,
SANTA FÉ DO SUL,ARMANDO ROSSAFA,ARMANDO ROSSAFA GARCIA,ARMANDO,,
SANTO ANDRÉ,AIDAN RAVIN,AIDAN ANTONIO RAVIN,DR AIDAN RAVIN,,
SANTO ANDRÉ,CARLOS GRANA,CARLOS ALBERTO GRANA,CARLOS GRANA PT,,
SANTO ANDRÉ,RAIMUNDO SALLES,RAIMUNDO TARASKEVICIUS SALLES,SALLES,,
SANTO ANDRÉ,ALEXANDRE FLAQUER,ALEXANDRE NERO FLAQUER,FLAQUER,,
SANTO ANDRE,AIDAN,AIDAN ANTONIO RAVIN,DR AIDAN RAVIN,,
SANTO ANDRE,GRANA,CARLOS ALBERTO GRANA,CARLOS GRANA PT,,
SANTO ANDRE,AIDAN RAVIN,AIDAN ANTONIO RAVIN,DR AIDAN RAVIN,,
SANTO ANDRE,CARLOS GRANA,CARLOS ALBERTO GRANA,CARLOS GRANA PT,,
SANTOS,SERGIO AQUINO,SERGIO PAULO PERRUCCI AQUINO,AQUINO,,
SÃO BERNARDO DO CAMPO,MARINHO,LUIZ MARINHO,LUIZ MARINHO,,
SAO CAETANO DO SUL,EDGAR NOBREGA,EDGAR NOBREGA GOMES,PROF EDGAR NOBREGA,,
SAO CAETANO DO SUL,REGINA MAURA ZETONE,REGINA MAURA ZETONE GRESPAN,REGINA MAURA,,
