info_muni,candidate,correction
CRISTIANÓPOLIS,BRUNO RIBEIRO,
CRISTIANÓPOLIS,EDMAR BORGES,
CRISTIANÓPOLIS,IRIS AURELIO BORGES DIAS,
CRISTIANÓPOLIS,JULIANA FARMACIA,
CRISTIANÓPOLIS,RODRIGO ACHCAR,
CRUZEIRO DO SUL,CESAR MESSIAS,
CRUZEIRO DO SUL,FAGNER SALES,
CRUZEIRO DO SUL,ILDERLEI,ILDERLEI CORDEIRO
CRUZEIRO DO SUL,ILDERLEI CORDEIRO,
CRUZEIRO DO SUL,JESSICA SALES,
CRUZEIRO DO SUL,LINDEMBERG CHAVES,
CRUZEIRO DO SUL,LINKER CAMELI,
CRUZEIRO DO SUL,LUIS CUNHA MELO,
CRUZEIRO DO SUL,MARCELO SIQUEIRA,
CUBATÃO,ADEMARIO OLIVEIRA,
CUBATÃO,DADA,
CUBATÃO,FABIO MELO,
CUBATÃO,IVAN HILDEBRANDO,
CUBATÃO,PAIVA MAGALHAES,
CUBATÃO,PAULA RAVANELLI,
CUBATÃO,PAULA ROSA,PAULO ROSA
CUBATÃO,PEDRO SA,
CUBATÃO,TONINHO VIEIRA,
CUBATÃO,WAGNER MOURA,
CUIABÁ,ABILIO JUNIOR,
CUIABÁ,EMANUEL PINHEIRO,
CUIABÁ,FABIO GARCIA,
CUIABÁ,FELIPE WELLATON,
CUIABÁ,GILBERTO FIGUEIREDO,
CUIABÁ,GISELA SIMONA,
CUIABÁ,JOSE ROBERTO STOPA,
CUIABÁ,PROCURADOR MAURO,
CUIABÁ,ROBERTO FRANCA,
CURITIBA,CHRISTIANE YARED,
CURITIBA,CIDA BORGHETTI,
CURITIBA,FRANCISCHINI,
CURITIBA,GUSTAVO FRUET,
CURITIBA,JOAO ARRUDA,
CURITIBA,JOAO GUILHERME,
CURITIBA,LUCIANO DUCCI,
CURITIBA,LUIZAO GOULART,
CURITIBA,NEY LEPREVOST,
CURITIBA,RAFAEL GRECA,
CURITIBA,RENATO MOCELLIN,
CURURUPU,ALDO LOPES,
CURURUPU,HELEN,HELEN MARAVILHA
CURURUPU,HELEN MARAVILHA,
CURURUPU,ROSINHA,
DIAS D'ÁVILA,ALBERTO CASTRO,
DIAS D'ÁVILA,ANDREIA XAVIER,
DIAS D'ÁVILA,DONA ZENE COUTO,
DIAS D'ÁVILA,GERALDO REQUIAO,
DOM PEDRO,ALEXANDRE COSTA,
DOM PEDRO,GALEGO MOTA,
DOM PEDRO,HERNANDO MACEDO,
DOM PEDRO,LEO PAZ,
DOM PEDRO,LUCIANO REZENDE,
DOM PEDRO,RIBAMAR FILHO,
DOURADOS,ALAN GUEDES,
DOURADOS,BARBOSINHA,
DOURADOS,DANIELA HALL,
DOURADOS,DELIA,DELIA RAZUK
DOURADOS,DELIA RAZUK,
DOURADOS,GERALDO RESENDE,
DOURADOS,JEFERSON BEZERRA,
DOURADOS,JOSE CARLOS BARBOSA,
DOURADOS,MARCAL FILHO,
