norm_est,est_id
SARAH RIBEIRO SILVA,398
SERGIO ANTONIO ZULLO,399
SERGIO CARVALHO,400
SERGIO LAURENTINO MELO,401
SERGIO PINTO MARTINS,402
SERGIO RAMALHO CAVALCANTI ALBUQUERQUE,403
SERGIO RIBEIRO SANTOS,404
SERGIO ZULLO,399
SILVANIDLO BAIA SILVA,405
SILVANILDO B SILVA,405
SILVANILDO BAIA SILVA,405
SILVIA CARILINE SALGADO PENA,406
SILVIA CAROLINE SALGADO PENA,406
SILVIA GLISNKI RITA SEFRIN,407
SILVIA RITA GLINSK SEFRIN,407
SILVIA RITA GLINSKI SEFRIN,407
"SILVIA RITA GLINSKI SEFRIN,",407
SILVIA RITA GLISNKI SEFRIN,407
SILVIA RITAGLISNKI SEFRIN,407
SILVIO PARDAL ARAGAO,408
SIMONE ECHEVESTE,409
